"","batter","PA_2021","PA_2022","PA_2023","Total_PA"
"1","0014c193005b425aaad55358686fb0dd1a4a0755",NA,182,60,242
"2","003af1e4636109b822c9acfa703cb517c46d89fc",163,140,90,393
"3","0043ac96d4fde6fcfd5a841b8d902661e69a6009",NA,22,44,66
"4","0084c15ee1d82fb5b793e1ff130f46651dd13e17",NA,22,60,82
"5","00e99b6a19161174f9f6520a80783c70236d8403",36,258,555,849
"6","00f2af912fbb0f299e177f6ff00fafed7bf79aa5",NA,7,139,146
"7","00fb2414b8f5bcdec5e0398176d9c76747645772",NA,335,333,668
"8","01062805175a65bbfb5e2024853137219296e26c",559,425,114,1098
"9","0110ddbbd4e67bbd0a355dd5561021b075920eb3",4,NA,NA,4
"10","011de33d151ba44dc18c0a7129b4df39ed66b8cc",163,NA,NA,163
"11","016b7124144bdb5822af25b395629a805e22ec91",NA,NA,84,84
"12","0171b690f5f948e94221f85a5655a5bca8b42a40",24,NA,NA,24
"13","01aa9f48c9a636dfb01e4e66a4f3ce742f908e4a",NA,NA,138,138
"14","020e1c97d88916739bc1c2276a6ef8e91447443f",198,171,140,509
"15","0250bb29dfa83e5e2d855c2f18d826b57cde4191",587,609,469,1665
"16","02608b1a3a44adacbae06ceb30accc9110a0e336",250,470,457,1177
"17","02704f6c055abbf858edfd3d220970ef99cb2212",1,NA,NA,1
"18","029a2a4091a3dadd2e8b2c9945c49172bc9a2d13",NA,NA,121,121
"19","02b79004f4e2b75b03f7b57c8a11c40c5f004680",1,NA,NA,1
"20","02bb069b777c03d0c54f558342343bebeed3b402",254,384,345,983
"21","02db096acbd50af9cdc36f25a64b16f7e62d8589",1,NA,NA,1
"22","031430dc518164c6d1cb405740f96f9385674ba0",131,543,529,1203
"23","0332bade03d7ac5b1931431d7753c6705f634841",462,NA,NA,462
"24","036bb24338d2cb9318ab0cc768eeee1d32515369",375,123,140,638
"25","037158ce34a79cee4dd9ddafd4c7b8ca90327429",547,540,470,1557
"26","039b39385faa43693cf102b50f9495344b15b285",248,344,401,993
"27","03a331b503c0497a3d4cfacd5742d34739d29080",297,33,NA,330
"28","03ac692fdfbfcfc804c4f741888f8b004dbbd896",24,3,37,64
"29","04109b2ec7a31d53d44fe227f0586200e1b3c493",NA,NA,404,404
"30","041315d0596ffddb891dd84ae1bb692431921fe6",567,474,177,1218
"31","043aacf89c75553ed221af33bd5f157575ab0f96",57,174,149,380
