"","batter","season","Total_PAs"
"1","00fb2414b8f5bcdec5e0398176d9c76747645772","2022",75
"2","00fb2414b8f5bcdec5e0398176d9c76747645772","2023",75
"3","01062805175a65bbfb5e2024853137219296e26c","2021",85
"4","01062805175a65bbfb5e2024853137219296e26c","2022",80
"5","01062805175a65bbfb5e2024853137219296e26c","2023",59
"6","0110ddbbd4e67bbd0a355dd5561021b075920eb3","2021",3
"7","020e1c97d88916739bc1c2276a6ef8e91447443f","2021",69
"8","020e1c97d88916739bc1c2276a6ef8e91447443f","2022",70
"9","020e1c97d88916739bc1c2276a6ef8e91447443f","2023",66
"10","02704f6c055abbf858edfd3d220970ef99cb2212","2021",1
"11","02b79004f4e2b75b03f7b57c8a11c40c5f004680","2021",1
"12","02db096acbd50af9cdc36f25a64b16f7e62d8589","2021",1
"13","037158ce34a79cee4dd9ddafd4c7b8ca90327429","2021",80
"14","037158ce34a79cee4dd9ddafd4c7b8ca90327429","2022",86
"15","037158ce34a79cee4dd9ddafd4c7b8ca90327429","2023",88
"16","04994290f0133acc8b036b3d3bc14ceda5b0d012","2021",15
"17","04cc7babf2db7c7531580c6f4d2e313c5c9bf560","2021",1
"18","0511a4e51e2e6e7f78a0acfb2ec603a9ab4acbe0","2021",4
"19","05489443ace8032d1a897c125c504d52362c507f","2021",44
"20","061eb45e0292790d19a0638e0bd4edb4dad2d319","2021",85
"21","061eb45e0292790d19a0638e0bd4edb4dad2d319","2022",80
"22","061eb45e0292790d19a0638e0bd4edb4dad2d319","2023",84
"23","06662d5b2e1290f7ee60a65ca4d0f90c3ddd9581","2021",83
"24","06662d5b2e1290f7ee60a65ca4d0f90c3ddd9581","2022",73
"25","06662d5b2e1290f7ee60a65ca4d0f90c3ddd9581","2023",64
"26","0787a0194110f04cfac70c22b35b79e710e93e0d","2021",7
"27","07f0a4be81a4415806197d0a1b0339917fa0ae01","2021",74
"28","07f0a4be81a4415806197d0a1b0339917fa0ae01","2022",73
"29","07f0a4be81a4415806197d0a1b0339917fa0ae01","2023",62
"30","083d603cf3249f2f57c04b16db50218beba3c152","2021",72
"31","083d603cf3249f2f57c04b16db50218beba3c152","2022",54
"32","083d603cf3249f2f57c04b16db50218beba3c152","2023",11
"33","0867cdc89466ca1651ec177e322cb5b045126a49","2021",2
"34","08a7ee474cc1fbfeb48e48b23b82fb9efd3c0f02","2021",9
"35","0970a31949e9d9c0db5d90ee6eaee120529ad264","2021",2
"36","0b45bde37e380498cfc1bc4a6153567ec74d63b0","2021",28
"37","0b6c7a9ff58dc18e0e462ff7ac31aab5947124e5","2021",39
"38","0b6c7a9ff58dc18e0e462ff7ac31aab5947124e5","2023",2
"39","0b7ac2052237fe7518844407df4c965305fae3a9","2021",3
"40","0b7ac2052237fe7518844407df4c965305fae3a9","2022",1
"41","0b7e91b73e8e3ce2c1aa8d74416e37aa24d45b60","2021",1
"42","0ba1c8581d0fa99abbd75bd6b6cc8cfca3bdd5ec","2021",1
"43","0c049bc522425eab3482cc503f0c1f416be05b4f","2021",1
"44","0ca329fc49d750ff089b64c0dcb78465bba6ca5e","2021",74
"45","0ca329fc49d750ff089b64c0dcb78465bba6ca5e","2022",68
"46","0ca329fc49d750ff089b64c0dcb78465bba6ca5e","2023",70
"47","0d06d461615dc698f57ccb8a1f6b958b675c5c5f","2021",2
"48","0d1f9704bf611041f42aa3454af0cc19cd8d1360","2021",47
"49","0e83bafabb77ec13c356db364be8cea1d55afcfe","2021",1
"50","0e86bc7879803f7bcc6f16386e6f64c578a22199","2021",73
"51","0e86bc7879803f7bcc6f16386e6f64c578a22199","2022",70
"52","0e86bc7879803f7bcc6f16386e6f64c578a22199","2023",50
"53","0f061b9439845159c394a71e55d635b10ca25656","2021",3
"54","102be786b501ac586b0919515e7707ff61c84bf4","2021",10
"55","10fedf67aa649b50c9974dd8fdfef7a128e5adc3","2021",2
"56","11416d11059c8d9746e5810a0b83471293d2bfef","2021",23
"57","1197ad8826628a3b6a30dce1a669fec173342b7b","2021",39
"58","1197ad8826628a3b6a30dce1a669fec173342b7b","2022",48
"59","11d5f4e38d7491e880c99a6717db9f0fb3d03495","2022",48
"60","12500b0485dd2c99ec2973700512ec1b1751e2fe","2021",1
"61","13a359b8104dd860f6ef78ad52a2bf0a1fedf75c","2023",61
"62","13db75ec2a2ab2c1204e891c1dd8a91095dec4ac","2021",1
"63","13efcb430aedb603f38fb8e0b8f0788369d88a0e","2021",1
"64","13f1ea44ff2b7094942812a905745c719e209b0b","2021",81
"65","13f1ea44ff2b7094942812a905745c719e209b0b","2022",73
"66","13f1ea44ff2b7094942812a905745c719e209b0b","2023",65
"67","14141a52599650ea070ed88943350830e7848cdf","2021",1
"68","148f176b02dce29b83edb4320503dc4d23955f9c","2021",29
"69","14af6a8eb666d7c9681caa8ed62c48b91baf7418","2021",75
"70","14d989d8d61ab52344d12d6c7c25673cb91b8e75","2021",6
"71","151e3a419b9084ed3fb6d18a9d95bea2897dd4d6","2021",5
"72","151f1a0a4d4509711c02ef31320fa25afb343d0f","2021",79
"73","151f1a0a4d4509711c02ef31320fa25afb343d0f","2022",70
"74","155168f6c29c329f20d476d9f6181bf8ee1e335b","2021",1
"75","1555357c4809b66ac35fa0096f378680a822b65e","2021",72
"76","1555357c4809b66ac35fa0096f378680a822b65e","2022",67
"77","1555357c4809b66ac35fa0096f378680a822b65e","2023",63
"78","1563b7e821ce94e55b751e2656d96bb2de8d6795","2021",1
"79","15cf631818905e2aba93aabd57046f07a210f484","2021",2
"80","165fd9b7358e92833b4563e3588f3aa3076f823c","2021",1
"81","179b65b12c84f3cbd352681ede3f3bb890b3645b","2021",4
